Usage,Influence
4.777777778,4.333333333
3.555555556,3.333333333
3.333333333,4.111111111
3,3.888888889
2.444444444,3.111111111
3.222222222,4.333333333
2.888888889,3
3.444444444,4
2.111111111,4.777777778
2.666666667,3.111111111
2.666666667,2.777777778
4.222222222,3.666666667
5,5
3.444444444,4.111111111
3.666666667,3.777777778
3.222222222,3.555555556
3.555555556,3.777777778
2,2.666666667
1.777777778,2.777777778
1.333333333,3
3.888888889,3.222222222
3.111111111,3.333333333
3.777777778,4.444444444
2.777777778,3
2.444444444,3.222222222
1.444444444,2.777777778
2.222222222,3.555555556
3.333333333,3.111111111
2.333333333,3.888888889
1,2.555555556
3,4.222222222
1.888888889,3.111111111
3.555555556,3.555555556
3.777777778,3.444444444
4,3.555555556
1.666666667,2.888888889
3.444444444,2.888888889
2.666666667,3.777777778
2.111111111,3.111111111
2,2.666666667
1.666666667,3.444444444
2.777777778,2.888888889
3.888888889,3.444444444
4.333333333,4.222222222
1.222222222,3
3.333333333,4.555555556
3.444444444,3.666666667
3.666666667,3.222222222
3.222222222,3.888888889
2.777777778,3.555555556
3.333333333,3.888888889
2.777777778,3.333333333
1.555555556,3.111111111
1.444444444,3.333333333
3.222222222,3.777777778
3.444444444,3.111111111
2.111111111,3.888888889
1.888888889,3.444444444
2.666666667,4.333333333
3.666666667,3
4,3
1.555555556,4.666666667
3.666666667,2.333333333
3.777777778,3.444444444
1.777777778,4.111111111
2.888888889,3.555555556
3.333333333,2.777777778
3.222222222,4
3.222222222,2.888888889
2.555555556,3.777777778
2.444444444,3.333333333
2.555555556,3.444444444
4,3.111111111
4.111111111,3.777777778
3.555555556,3.555555556
2.666666667,2.777777778
4.222222222,4.333333333
2.777777778,3.888888889
3.444444444,3.555555556
3.888888889,4.111111111
3.222222222,2.666666667
4,4.111111111
4,3.333333333
2.444444444,3.111111111
2.555555556,4
3.666666667,4.555555556
2.666666667,3.555555556
2.555555556,4
1.888888889,3.666666667
3.222222222,4.555555556
3.777777778,3.888888889
2.888888889,3.111111111
3.555555556,3.333333333
1.666666667,2.444444444
3.222222222,3.666666667
4.333333333,4
2.555555556,3.666666667
3.555555556,4.444444444
1.888888889,2.888888889
4.333333333,4
3.555555556,3.222222222
2.555555556,5
2.444444444,4.111111111
3.111111111,3.777777778
2.777777778,2
2.444444444,3.888888889
2.555555556,3.222222222
4,4
3.666666667,3.888888889
2.777777778,3.555555556
4,3.888888889
2.555555556,3.222222222
3.111111111,3.555555556
2.666666667,2.888888889
1.222222222,2.333333333
3.444444444,4
4.111111111,4.888888889
3.222222222,3.222222222
2.555555556,2
4,4
2.444444444,2.111111111
4.777777778,3.666666667
3.111111111,3
3.444444444,3.777777778
3.777777778,4.444444444
3.666666667,3.888888889
3,2.777777778
3.555555556,3.666666667
3.666666667,3.666666667
3.111111111,4.444444444
3.888888889,4.111111111
3,3
4,4.888888889
2.444444444,3.333333333
4.555555556,3.444444444
4.222222222,4.444444444
4.111111111,4.888888889
5,4
3.333333333,3.555555556
4,3.888888889
2.555555556,3.444444444
3.666666667,3.888888889
3.666666667,4.111111111
2.777777778,3.444444444
4,3.888888889
2.555555556,3.444444444
3.555555556,3.666666667
1.333333333,3.111111111
2.555555556,3.666666667
3.666666667,3.777777778
3,3
2,3.888888889
1.888888889,3.111111111
2.222222222,2
3.888888889,3.888888889
2.444444444,3.333333333
3.444444444,4.666666667
2.666666667,3.777777778
2.777777778,3
2.666666667,3.888888889
2.555555556,5
2.888888889,2.444444444
2.666666667,3.444444444
2.888888889,4.666666667
2.555555556,4.777777778
2.888888889,3.222222222
2.555555556,3.111111111
1.444444444,4.111111111
1.666666667,3.333333333
1,1
2,3.888888889
2.777777778,3.777777778
4,4.111111111
3,2.888888889
2.222222222,4.333333333
1.222222222,2.777777778
2.333333333,2.888888889
3.333333333,3.888888889
3.777777778,3.666666667
2.777777778,4.111111111
2.666666667,3.666666667
2.888888889,3.222222222
3.333333333,3.444444444
3.111111111,3.444444444
3,3
2.333333333,3.222222222
1.666666667,4.111111111
3.777777778,3.888888889
2.111111111,2.444444444
2.777777778,3.888888889
2.666666667,2.888888889
3.444444444,3.777777778
2.777777778,5
4.888888889,3.111111111
2.555555556,4.555555556
3.888888889,2.888888889
3,3
4.222222222,4.888888889
1.888888889,2.888888889
3,3
3.333333333,3.444444444
3.444444444,3.333333333
1.888888889,1.888888889
2.333333333,4.555555556
2.333333333,4
3.222222222,3.222222222
3.777777778,4.333333333
3,3.333333333
4.333333333,4.444444444
3,4.777777778
3.111111111,2.444444444
3.111111111,3.555555556
3.333333333,2.888888889
2.444444444,4
1.555555556,2.888888889
3.111111111,2.888888889
3.444444444,4.111111111
3.888888889,4.555555556
2,2.444444444
2.666666667,3.111111111
2.777777778,2.888888889
1.333333333,3
2.111111111,4.555555556
3,3.666666667
5,5
2.777777778,3.555555556
5,2.555555556
3,3.888888889
3.666666667,3.777777778
3.111111111,4.333333333
3,3.777777778
3.333333333,5
2.444444444,3.666666667
3.333333333,4.111111111
4,4.666666667
3,4.444444444
2.444444444,3.555555556
2.333333333,4.222222222
2.888888889,2.111111111
3.666666667,2.333333333
3.888888889,5
2.666666667,4.555555556
2.888888889,4.666666667
3.555555556,4
4.333333333,3.888888889
3.222222222,3.777777778
1.777777778,3.666666667
3.222222222,3.777777778
3,3.888888889
3.111111111,3.888888889
2.888888889,3.888888889
3.888888889,3.333333333
2.333333333,2.777777778
4,3.555555556
2.777777778,4
3.888888889,4.111111111
2.222222222,3.555555556
3.333333333,2
2.777777778,3
2.111111111,1
3.444444444,1.444444444
4.111111111,2.111111111
4.666666667,3.666666667
3.222222222,3.222222222
2.888888889,4.555555556
2.444444444,3.888888889
3.555555556,3.555555556
1.222222222,1.888888889
3,4.888888889
2.666666667,3.777777778
2,3.111111111
3.111111111,4.444444444
3.555555556,4.111111111
1.888888889,4
2.333333333,4
4.222222222,5
2.555555556,3.555555556
2.888888889,3.888888889
2.888888889,4.333333333
1.888888889,3.444444444
1.666666667,2.555555556
4.666666667,4.555555556
4.222222222,4
2.555555556,3.111111111
3.444444444,3.111111111
3,3.666666667
1.222222222,3.888888889
2.222222222,3.777777778
